student,level
5291732,C1
6289596,C1
6376294,C1
6594941,B2
6613873,B2
6711832,C1
6723415,B2
6885385,C1
6885458,B2
6885709,B1
6887396,B1
6887450,B1
6887493,A2
6887515,C1
6887558,B2
6887671,B1
6887965,A2
6889291,B1
6889461,C1
6889690,B1
6889976,B2
6890419,B2
6890494,B2
6890524,B2
6890559,B2
6890605,B1
6891156,B1
6910703,B1
6924887,B2
6928386,B2
6935862,B2
6937555,B2
6942613,B2
6942753,B1
6968558,B2
6971230,A2
6971842,B1
6980086,B2
6980663,B2
6981260,A1
6986491,B1
6986912,B1
6989148,A1
6990502,B2
6990561,A2
6995385,B1
6995393,B2
6995571,B1
6995636,B2
6995709,B1
6995733,B2
6995768,B2
6995776,C1
6995784,C1
6995822,A2
6995830,B2
6995865,B1
6995903,B1
6996411,B2
6996683,B1
6996969,B2
7001928,B2
7001944,B2
7001952,B1
7001960,B1
7001979,B1
7001987,B2
7002053,B2
7002185,B2
7002818,B2
7003025,B1
7004471,B2
7004730,B2
7004781,B1
7004803,A1
7004811,A2
7004889,B2
7004919,B1
7004935,B1
7004951,B2
7004978,B1
7004986,B1
7005028,A1
7005036,B1
7005117,B1
7005125,B1
7005141,B1
7005184,B1
7005192,B2
7005206,B1
7005249,B2
7005276,A2
7005796,B1
7005834,C1
7005850,B1
7005885,B1
7005893,B1
7005907,B2
7005923,B2
7005966,B1
MA291176,B1
MA6982151,B2
MA-Kras,B2
XX071295,B2
XX09120,B2
XX14111996,B2
XX180496,B2
XX181189,A2
XX1983,B1
XX20127,B1
XX240394,B2
XX24081996,B1
XX26091995,B2
XX270216,B1
XX35916,B2
XX76834,B2
XXBATOR,B2
