student,level
6391560,A2
6410549,B2
6419449,B2
6592639,B1
6660219,B2
6662378,B1
6662807,B2
6678444,B2
6699476,B2
6701810,B2
6707460,B2
6723660,C1
6724411,B2
6737254,B1
6746350,C1
6758464,B2
6758804,B1
6761848,B1
6766262,B1
6797036,B2
6813155,B1
6832729,B1
6834950,A1
6839006,B2
6860110,A2
6862288,B1
6869967,B2
6871082,B1
6874529,B2
6881195,B1
6881913,A1
6884877,A1
6885180,B2
6885199,B1
6885245,A2
6885261,B1
6885458,B1
6885636,A2
6885660,A2
6885741,B2
6885814,A2
6885903,B1
6886012,A2
6886063,B1
6886098,B1
6886195,A1
6886454,B1
6886489,B2
6886500,B2
6886543,B1
6886608,A1
6886667,A2
6886705,A1
6886942,A1
6887221,B2
6887353,B2
6887361,B1
6887388,B2
6887418,A2
6887485,A2
6887493,A2
6887558,B2
6887612,B1
6887639,A1
6887655,A2
6887671,A1
6887752,B2
6887779,B2
6887809,B1
6887817,A2
6887884,B1
6887906,A2
6887949,A2
6887965,A1
6888037,B1
6888198,B2
6888316,B2
6888392,B1
6888406,A2
6888627,B2
6888724,B1
6888759,B2
6888783,B1
6888841,B1
6888880,B1
6888910,B2
6888988,B1
6889011,B1
6889070,A1
6889089,B2
6889097,B1
6889143,B2
6889194,B1
6889224,B2
6889240,B1
6889275,B1
6889283,B1
6889313,B1
6889321,B2
6889356,B2
6889364,B1
6889380,A2
6889399,B2
6889410,B1
6889496,B1
6889518,A2
6889593,B1
6889615,B2
6889631,B1
6889666,B1
6889674,B1
6889682,B1
6889690,B1
6889704,B1
6889712,B1
6889720,B1
6889739,B1
6889747,A2
6889755,B1
6889763,B1
6889771,B1
6889798,A2
6889801,B2
6889828,B1
6889836,B2
6889844,B1
6889860,B2
6889879,A2
6889887,B2
6889933,B2
6889968,B1
6889976,B2
6889992,A2
6890044,B1
6890052,B1
6890060,B1
6890095,B2
6890109,B2
6890117,B2
6890125,B2
6890133,B2
6890141,B1
6890184,B2
6890206,B1
6890214,A2
6890249,B2
6890281,B2
6890303,B1
6890338,B2
6890397,B2
6890400,B1
6890427,B1
6890435,B2
6890486,B1
6890494,B2
6890508,B2
6890524,B2
6890605,A2
6890664,C1
6890680,B2
6890702,B1
6890737,B2
6890818,A2
6890842,A2
6890885,B1
6890923,A2
6890958,A2
6890966,B1
6890974,B2
6890982,B2
6890990,B1
6891008,B1
6891016,A2
6891024,B2
6891032,B1
6891059,B1
6891067,B2
6891083,B2
6891091,B1
6891105,B1
6891113,B1
6891148,B2
6891156,B1
6891229,B2
6891253,B2
6891261,C1
6891288,B2
6891318,B1
6891326,C1
6891350,B2
6891520,A2
6891539,A1
6891555,A2
6891571,B2
6891628,A1
6891652,B2
6891660,B1
6892497,B1
6892519,B1
6892527,B1
6892543,A1
6892551,B1
6892578,A2
6892584,B1
6892675,B2
6892691,A2
6892780,B1
6892799,B1
6892845,B2
6892861,A2
6892888,B1
6892977,A2
6898339,C1
6901887,B2
6905408,B1
6906382,C1
6906676,C1
6910703,B1
6914504,B2
6914547,B2
6914555,B1
6914598,A2
6914601,B1
6914628,B1
6915489,B2
6915624,B2
6915748,B2
6931352,B2
6931999,B2
6933169,B2
6936060,B1
6939884,A2
6942613,B2
6942699,B2
6942877,B1
6943008,C1
6943261,B2
6946724,B2
6953054,B1
6962851,B2
6964501,B1
6964528,B2
6967594,B1
6968167,B1
6968558,B2
6969619,A1
6969635,B1
6970552,B1
6971125,A2
6971842,A2
6971869,A2
6971958,A2
6971974,B2
6972008,B1
6972377,B1
6979088,B1
6979754,B1
6979819,A2
6980094,B1
6981155,B2
6981260,A1
6982445,B2
6982548,B1
BAS7814,A2
XX02031991,B2
XX0301935,B2
XX051057,B2
XX10101979,B1
XX123456,B1
XX160922,B2
XX160984,B2
XX18051977,B1
XX198519851985,A2
XX198906,A2
XX1995,B1
XX1997,B1
XX20071993,B2
XX21101992,B2
XX25081956,B2
XX3141592,B1
XX903984710135,B2
