student,level
1465033,B2
6473516,B1
6473826,B1
6475683,A2
6491654,C1
6495072,B2
6497180,B2
6502966,B1
6504284,B2
6505957,B2
6507291,B2
6508115,B2
6509359,B2
6509820,B2
6509847,B2
6509960,B2
6512848,B2
6512982,B1
6514247,A2
6514654,A2
6515324,A2
6516444,B1
6523777,B2
6526229,A2
6526342,B2
6530676,B2
6531354,C1
6532121,B2
6534698,B2
6534892,B2
6535473,B2
6535937,B1
6539959,B1
6541953,B2
6546769,B2
6548672,B1
6550421,A2
6553404,B2
6554087,B1
6554737,C1
6555504,B2
6555814,B2
6556195,B2
6556535,B1
6557310,B2
6558341,B2
6559143,B1
6559151,B1
6559267,B1
6561016,B2
6562799,C1
6566735,B1
6568010,B2
6568169,C1
6568398,B1
6569149,C1
6569580,C1
6570961,C1
6571933,B2
6575629,B2
6580428,C1
6583230,B2
6584784,C1
6584881,B2
6587619,B2
6587791,B2
6592760,B2
6594615,C1
6597177,B2
6597746,B1
6607970,B2
6608063,B1
6608187,B1
6608403,B2
6608837,C1
6609035,B2
6609086,B1
6609213,B2
6609671,B2
6610009,B1
6610319,A2
6610971,C1
6611013,B1
6611536,A2
6613415,A2
6616260,B2
6618387,B2
6647263,B1
6648138,B2
6648340,A2
6650086,B2
6650973,B2
6651791,A2
6652186,C1
6653794,B1
6654057,B1
6654472,B2
6655991,B2
6656793,B1
6656912,A2
6657307,B1
6657579,B2
6660219,A2
6660316,B2
6662866,B2
6663374,A2
6664184,B1
6664230,B2
6664311,B2
6664869,B2
6665253,B2
6665571,B2
6665695,B2
6667329,B2
6671792,C1
6672284,B2
6674449,B2
6676425,B2
6677057,B1
6677677,C1
6678096,B2
6678126,B1
6678444,B1
6678711,B2
6681305,B2
6681917,C1
6682255,C1
6682328,B2
6682778,B2
6683529,B2
6683863,B2
6686358,B1
6689101,B1
6690304,B2
6690967,B2
6691548,C1
6693370,B2
6694857,B2
6695063,C1
6696574,B2
6697384,C1
6698488,C1
6699476,B1
6700695,B2
6700733,B2
6701330,B2
6701810,A2
6702833,C1
6703619,C1
6704550,B2
6705786,B1
6706308,B1
6707460,B2
6707797,B2
6708122,B1
6708688,B1
6709145,B2
6710119,B2
6714394,B2
6715749,B1
6715862,B2
6717369,B1
6718233,B2
6722753,B1
6722842,B2
6723989,B1
6724241,C1
6727755,B2
6740123,B2
6741936,B2
6742797,B2
6746350,B1
6746814,B1
6750439,B2
6750560,B1
6750609,C1
6751230,B2
6752075,B2
6755104,B1
6755112,B1
6759770,C1
6759789,B1
6759797,B2
6764146,B2
6764170,B2
6764693,B1
6765622,B2
6766130,B2
6766262,A2
6766351,A2
6766408,B1
6766688,B1
6767463,B2
6770170,B2
6773323,B2
6773986,B1
6774680,B2
6775725,B2
6776071,B2
6776454,B2
6776489,B2
6776705,B2
6777213,C1
6779852,C1
6779887,B1
6781237,B2
6783612,B2
6784589,B1
6785097,B1
6785968,B2
6788819,C1
6789114,B1
6790554,B2
6790791,B2
6791208,B1
6792980,B2
6793758,B2
6794002,B2
6794169,B2
6794347,B1
6795149,B2
6795734,C1
6796676,B1
6797036,A2
6797486,C1
6797893,B2
6800622,C1
6802471,B2
6802676,B2
6802897,C1
6802927,B1
6803346,B1
6805004,B1
6805071,B2
6807414,B2
6809050,B1
6809549,B1
6810695,B2
6811098,C1
6811500,B2
6811934,B2
6812159,B1
6813422,B1
6813465,A2
6814046,B2
6814267,B2
6815360,B2
6815999,C1
6816065,B1
6818033,B2
6818696,C1
6824394,B2
6827571,A2
6827822,B2
6829906,B2
6832222,B2
6832729,B2
6832966,B2
6833547,B2
6833938,B2
6835361,C1
6839006,A2
6839790,B2
